data,produto,categoria,regiao,preco,quantidade,valor_total
2025-01-02,Kit Skincare,Beleza,Norte,229.00,5,1145.00
2025-01-03,Batom Matte,Beleza,Sul,49.90,1,49.90
2025-01-03,Jaqueta Jeans,Moda,Centro-Oeste,249.00,6,1494.00
2025-01-03,Batom Matte,Beleza,Centro-Oeste,49.90,5,249.50
2025-01-03,Bola Futebol,Esporte,Nordeste,119.00,8,952.00
2025-01-04,Mochila Trilha,Esporte,Nordeste,279.00,6,1674.00
2025-01-04,Boné Trucker,Moda,Norte,59.90,5,299.50
2025-01-05,Halteres 10kg,Esporte,Norte,189.00,8,1512.00
2025-01-06,Halteres 10kg,Esporte,Centro-Oeste,189.00,7,1323.00
2025-01-06,Aspirador Robô,Casa,Nordeste,1499.00,2,2998.00
2025-01-07,Luminária LED,Casa,Norte,129.00,5,645.00
2025-01-08,Aspirador Robô,Casa,Nordeste,1499.00,6,8994.00
2025-01-08,Secador Pro,Beleza,Norte,279.00,1,279.00
2025-01-08,Tablet Lite,Eletrônicos,Sudeste,1599.00,7,11193.00
2025-01-08,Luminária LED,Casa,Norte,129.00,2,258.00
2025-01-09,Conjunto Panelas,Casa,Centro-Oeste,459.00,4,1836.00
2025-01-10,Edredom Queen,Casa,Nordeste,329.00,5,1645.00
2025-01-12,Notebook Pro 14,Eletrônicos,Sul,5499.00,3,16497.00
2025-01-13,Aspirador Robô,Casa,Sudeste,1499.00,12,17988.00
2025-01-14,Bicicleta MTB,Esporte,Nordeste,2199.00,10,21990.00
2025-01-14,Aspirador Robô,Casa,Sudeste,1499.00,12,17988.00
2025-01-15,Tapete Yoga,Esporte,Norte,99.00,2,198.00
2025-01-15,Luminária LED,Casa,Sudeste,129.00,9,1161.00
2025-01-15,Fone Bluetooth,Eletrônicos,Nordeste,299.00,9,2691.00
2025-01-18,Boné Trucker,Moda,Sul,59.90,10,599.00
2025-01-19,Vestido Floral,Moda,Sul,189.00,11,2079.00
2025-01-19,Smartphone X12,Eletrônicos,Sudeste,3299.00,5,16495.00
2025-01-20,Jaqueta Jeans,Moda,Centro-Oeste,249.00,3,747.00
2025-01-21,Mochila Trilha,Esporte,Norte,279.00,2,558.00
2025-01-21,Kit Skincare,Beleza,Centro-Oeste,229.00,11,2519.00
2025-01-22,Halteres 10kg,Esporte,Centro-Oeste,189.00,2,378.00
2025-01-22,Camiseta Básica,Moda,Nordeste,79.90,7,559.30
2025-01-23,Perfume Floral 100ml,Beleza,Sul,349.00,2,698.00
2025-01-24,Boné Trucker,Moda,Centro-Oeste,59.90,2,119.80
2025-01-24,Secador Pro,Beleza,Nordeste,279.00,11,3069.00
2025-01-24,Conjunto Panelas,Casa,Sul,459.00,4,1836.00
2025-01-24,Vestido Floral,Moda,Sudeste,189.00,9,1701.00
2025-01-25,Tênis Runner,Moda,Sudeste,399.00,11,4389.00
2025-01-25,Conjunto Panelas,Casa,Centro-Oeste,459.00,6,2754.00
2025-01-27,Shampoo Premium,Beleza,Sul,89.00,5,445.00
2025-01-28,Smartphone X12,Eletrônicos,Sul,3299.00,5,16495.00
2025-01-28,Kit Skincare,Beleza,Nordeste,229.00,9,2061.00
2025-01-28,Tênis Runner,Moda,Sul,399.00,9,3591.00
2025-01-28,Mochila Trilha,Esporte,Norte,279.00,12,3348.00
2025-01-28,Tapete Yoga,Esporte,Centro-Oeste,99.00,4,396.00
2025-02-02,Halteres 10kg,Esporte,Nordeste,189.00,8,1512.00
2025-02-02,Luminária LED,Casa,Sudeste,129.00,2,258.00
2025-02-05,Bola Futebol,Esporte,Sudeste,119.00,7,833.00
2025-02-08,Batom Matte,Beleza,Sudeste,49.90,2,99.80
2025-02-09,Bicicleta MTB,Esporte,Norte,2199.00,11,24189.00
2025-02-09,Secador Pro,Beleza,Sudeste,279.00,1,279.00
2025-02-10,Batom Matte,Beleza,Sul,49.90,3,149.70
2025-02-10,Vestido Floral,Moda,Norte,189.00,12,2268.00
2025-02-10,Aspirador Robô,Casa,Sudeste,1499.00,6,8994.00
2025-02-10,Tapete Yoga,Esporte,Nordeste,99.00,1,99.00
2025-02-10,Kit Skincare,Beleza,Norte,229.00,12,2748.00
2025-02-12,Shampoo Premium,Beleza,Sul,89.00,4,356.00
2025-02-13,Luminária LED,Casa,Centro-Oeste,129.00,5,645.00
2025-02-14,Notebook Pro 14,Eletrônicos,Centro-Oeste,5499.00,4,21996.00
2025-02-14,Edredom Queen,Casa,Centro-Oeste,329.00,3,987.00
2025-02-14,Fone Bluetooth,Eletrônicos,Norte,299.00,5,1495.00
2025-02-14,Bicicleta MTB,Esporte,Sul,2199.00,12,26388.00
2025-02-16,Tênis Runner,Moda,Norte,399.00,1,399.00
2025-02-16,Bicicleta MTB,Esporte,Nordeste,2199.00,11,24189.00
2025-02-17,Tapete Yoga,Esporte,Centro-Oeste,99.00,4,396.00
2025-02-18,Tablet Lite,Eletrônicos,Sul,1599.00,11,17589.00
2025-02-18,Smartphone X12,Eletrônicos,Sudeste,3299.00,4,13196.00
2025-02-19,Bicicleta MTB,Esporte,Norte,2199.00,10,21990.00
2025-02-19,Tênis Runner,Moda,Sul,399.00,9,3591.00
2025-02-20,Tapete Yoga,Esporte,Norte,99.00,6,594.00
2025-02-21,Notebook Pro 14,Eletrônicos,Sul,5499.00,2,10998.00
2025-02-22,Camiseta Básica,Moda,Nordeste,79.90,6,479.40
2025-02-22,Tablet Lite,Eletrônicos,Centro-Oeste,1599.00,3,4797.00
2025-02-22,Camiseta Básica,Moda,Nordeste,79.90,7,559.30
2025-02-22,Aspirador Robô,Casa,Sudeste,1499.00,11,16489.00
2025-02-22,Batom Matte,Beleza,Sudeste,49.90,12,598.80
2025-02-24,Camiseta Básica,Moda,Norte,79.90,3,239.70
2025-02-24,Mochila Trilha,Esporte,Centro-Oeste,279.00,8,2232.00
2025-02-26,Smart TV 55,Eletrônicos,Norte,3899.00,4,15596.00
2025-02-26,Fone Bluetooth,Eletrônicos,Norte,299.00,4,1196.00
2025-02-27,Camiseta Básica,Moda,Sudeste,79.90,1,79.90
2025-02-27,Bola Futebol,Esporte,Centro-Oeste,119.00,1,119.00
2025-02-28,Bicicleta MTB,Esporte,Sudeste,2199.00,9,19791.00
2025-02-28,Boné Trucker,Moda,Centro-Oeste,59.90,7,419.30
2025-03-03,Tênis Runner,Moda,Norte,399.00,1,399.00
2025-03-03,Jaqueta Jeans,Moda,Sul,249.00,10,2490.00
2025-03-03,Vestido Floral,Moda,Centro-Oeste,189.00,9,1701.00
2025-03-04,Cafeteira Expresso,Casa,Sudeste,899.00,3,2697.00
2025-03-06,Cafeteira Expresso,Casa,Centro-Oeste,899.00,8,7192.00
2025-03-07,Shampoo Premium,Beleza,Nordeste,89.00,6,534.00
2025-03-08,Notebook Pro 14,Eletrônicos,Sul,5499.00,12,65988.00
2025-03-08,Notebook Pro 14,Eletrônicos,Sudeste,5499.00,6,32994.00
2025-03-08,Smartphone X12,Eletrônicos,Sul,3299.00,11,36289.00
2025-03-09,Camiseta Básica,Moda,Norte,79.90,5,399.50
2025-03-10,Bola Futebol,Esporte,Centro-Oeste,119.00,1,119.00
2025-03-11,Mochila Trilha,Esporte,Norte,279.00,8,2232.00
2025-03-11,Aspirador Robô,Casa,Centro-Oeste,1499.00,2,2998.00
2025-03-12,Halteres 10kg,Esporte,Sudeste,189.00,1,189.00
2025-03-12,Conjunto Panelas,Casa,Norte,459.00,2,918.00
2025-03-12,Fone Bluetooth,Eletrônicos,Nordeste,299.00,1,299.00
2025-03-13,Boné Trucker,Moda,Norte,59.90,10,599.00
2025-03-14,Tapete Yoga,Esporte,Norte,99.00,12,1188.00
2025-03-14,Vestido Floral,Moda,Centro-Oeste,189.00,4,756.00
2025-03-18,Camiseta Básica,Moda,Sudeste,79.90,6,479.40
2025-03-18,Bicicleta MTB,Esporte,Sul,2199.00,4,8796.00
2025-03-19,Perfume Floral 100ml,Beleza,Sudeste,349.00,11,3839.00
2025-03-20,Kit Skincare,Beleza,Sul,229.00,5,1145.00
2025-03-20,Smartphone X12,Eletrônicos,Centro-Oeste,3299.00,9,29691.00
2025-03-20,Smart TV 55,Eletrônicos,Centro-Oeste,3899.00,5,19495.00
2025-03-21,Vestido Floral,Moda,Norte,189.00,7,1323.00
2025-03-21,Tapete Yoga,Esporte,Centro-Oeste,99.00,10,990.00
2025-03-22,Tapete Yoga,Esporte,Sudeste,99.00,8,792.00
2025-03-22,Jaqueta Jeans,Moda,Sul,249.00,10,2490.00
2025-03-22,Vestido Floral,Moda,Norte,189.00,8,1512.00
2025-03-25,Cafeteira Expresso,Casa,Sul,899.00,1,899.00
2025-03-25,Kit Skincare,Beleza,Centro-Oeste,229.00,2,458.00
2025-03-26,Jaqueta Jeans,Moda,Sul,249.00,9,2241.00
2025-03-27,Tapete Yoga,Esporte,Sudeste,99.00,7,693.00
2025-03-27,Secador Pro,Beleza,Centro-Oeste,279.00,3,837.00
2025-03-28,Batom Matte,Beleza,Sul,49.90,8,399.20
2025-04-01,Luminária LED,Casa,Nordeste,129.00,3,387.00
2025-04-01,Jaqueta Jeans,Moda,Sul,249.00,3,747.00
2025-04-02,Notebook Pro 14,Eletrônicos,Norte,5499.00,5,27495.00
2025-04-03,Mochila Trilha,Esporte,Norte,279.00,2,558.00
2025-04-03,Halteres 10kg,Esporte,Nordeste,189.00,5,945.00
2025-04-03,Conjunto Panelas,Casa,Sul,459.00,2,918.00
2025-04-04,Aspirador Robô,Casa,Sudeste,1499.00,11,16489.00
2025-04-04,Tênis Runner,Moda,Sudeste,399.00,5,1995.00
2025-04-04,Shampoo Premium,Beleza,Centro-Oeste,89.00,5,445.00
2025-04-04,Luminária LED,Casa,Sudeste,129.00,12,1548.00
2025-04-04,Secador Pro,Beleza,Norte,279.00,2,558.00
2025-04-07,Camiseta Básica,Moda,Norte,79.90,11,878.90
2025-04-07,Mochila Trilha,Esporte,Norte,279.00,3,837.00
2025-04-08,Boné Trucker,Moda,Centro-Oeste,59.90,10,599.00
2025-04-08,Halteres 10kg,Esporte,Sudeste,189.00,5,945.00
2025-04-08,Aspirador Robô,Casa,Nordeste,1499.00,8,11992.00
2025-04-09,Jaqueta Jeans,Moda,Norte,249.00,12,2988.00
2025-04-09,Smart TV 55,Eletrônicos,Sudeste,3899.00,10,38990.00
2025-04-10,Smart TV 55,Eletrônicos,Centro-Oeste,3899.00,5,19495.00
2025-04-11,Smartphone X12,Eletrônicos,Nordeste,3299.00,12,39588.00
2025-04-11,Secador Pro,Beleza,Centro-Oeste,279.00,11,3069.00
2025-04-11,Tênis Runner,Moda,Norte,399.00,7,2793.00
2025-04-11,Tapete Yoga,Esporte,Nordeste,99.00,4,396.00
2025-04-11,Smart TV 55,Eletrônicos,Nordeste,3899.00,6,23394.00
2025-04-12,Halteres 10kg,Esporte,Nordeste,189.00,4,756.00
2025-04-13,Aspirador Robô,Casa,Centro-Oeste,1499.00,11,16489.00
2025-04-13,Mochila Trilha,Esporte,Norte,279.00,2,558.00
2025-04-13,Edredom Queen,Casa,Sul,329.00,11,3619.00
2025-04-14,Shampoo Premium,Beleza,Norte,89.00,8,712.00
2025-04-15,Secador Pro,Beleza,Sul,279.00,8,2232.00
2025-04-15,Secador Pro,Beleza,Nordeste,279.00,8,2232.00
2025-04-15,Boné Trucker,Moda,Nordeste,59.90,7,419.30
2025-04-16,Secador Pro,Beleza,Sul,279.00,7,1953.00
2025-04-17,Notebook Pro 14,Eletrônicos,Norte,5499.00,10,54990.00
2025-04-18,Aspirador Robô,Casa,Centro-Oeste,1499.00,12,17988.00
2025-04-19,Batom Matte,Beleza,Nordeste,49.90,4,199.60
2025-04-21,Smart TV 55,Eletrônicos,Nordeste,3899.00,5,19495.00
2025-04-22,Tablet Lite,Eletrônicos,Norte,1599.00,2,3198.00
2025-04-23,Jaqueta Jeans,Moda,Sul,249.00,4,996.00
2025-04-23,Tênis Runner,Moda,Norte,399.00,7,2793.00
2025-04-23,Smartphone X12,Eletrônicos,Centro-Oeste,3299.00,6,19794.00
2025-04-23,Fone Bluetooth,Eletrônicos,Centro-Oeste,299.00,12,3588.00
2025-04-27,Secador Pro,Beleza,Centro-Oeste,279.00,1,279.00
2025-04-28,Luminária LED,Casa,Sudeste,129.00,7,903.00
2025-04-28,Shampoo Premium,Beleza,Sul,89.00,11,979.00
2025-05-01,Camiseta Básica,Moda,Nordeste,79.90,3,239.70
2025-05-02,Tablet Lite,Eletrônicos,Nordeste,1599.00,12,19188.00
2025-05-02,Bicicleta MTB,Esporte,Nordeste,2199.00,12,26388.00
2025-05-03,Mochila Trilha,Esporte,Sul,279.00,1,279.00
2025-05-05,Jaqueta Jeans,Moda,Sul,249.00,1,249.00
2025-05-05,Kit Skincare,Beleza,Sul,229.00,8,1832.00
2025-05-06,Tapete Yoga,Esporte,Sudeste,99.00,11,1089.00
2025-05-07,Edredom Queen,Casa,Sudeste,329.00,6,1974.00
2025-05-07,Perfume Floral 100ml,Beleza,Norte,349.00,2,698.00
2025-05-07,Perfume Floral 100ml,Beleza,Nordeste,349.00,7,2443.00
2025-05-07,Edredom Queen,Casa,Sudeste,329.00,1,329.00
2025-05-08,Cafeteira Expresso,Casa,Norte,899.00,10,8990.00
2025-05-08,Vestido Floral,Moda,Sul,189.00,2,378.00
2025-05-09,Fone Bluetooth,Eletrônicos,Sudeste,299.00,6,1794.00
2025-05-11,Shampoo Premium,Beleza,Centro-Oeste,89.00,1,89.00
2025-05-12,Luminária LED,Casa,Centro-Oeste,129.00,9,1161.00
2025-05-12,Smartphone X12,Eletrônicos,Norte,3299.00,7,23093.00
2025-05-12,Jaqueta Jeans,Moda,Norte,249.00,3,747.00
2025-05-13,Fone Bluetooth,Eletrônicos,Nordeste,299.00,11,3289.00
2025-05-14,Secador Pro,Beleza,Norte,279.00,12,3348.00
2025-05-14,Halteres 10kg,Esporte,Norte,189.00,4,756.00
2025-05-15,Jaqueta Jeans,Moda,Sul,249.00,4,996.00
2025-05-15,Perfume Floral 100ml,Beleza,Centro-Oeste,349.00,11,3839.00
2025-05-18,Perfume Floral 100ml,Beleza,Sul,349.00,6,2094.00
2025-05-18,Vestido Floral,Moda,Sudeste,189.00,3,567.00
2025-05-18,Luminária LED,Casa,Centro-Oeste,129.00,5,645.00
2025-05-18,Vestido Floral,Moda,Nordeste,189.00,1,189.00
2025-05-19,Bola Futebol,Esporte,Sudeste,119.00,6,714.00
2025-05-20,Tablet Lite,Eletrônicos,Norte,1599.00,7,11193.00
2025-05-20,Batom Matte,Beleza,Sudeste,49.90,5,249.50
2025-05-21,Bola Futebol,Esporte,Sudeste,119.00,2,238.00
2025-05-22,Vestido Floral,Moda,Centro-Oeste,189.00,10,1890.00
2025-05-23,Aspirador Robô,Casa,Nordeste,1499.00,8,11992.00
2025-05-24,Edredom Queen,Casa,Sul,329.00,7,2303.00
2025-05-25,Vestido Floral,Moda,Sul,189.00,8,1512.00
2025-05-25,Cafeteira Expresso,Casa,Sul,899.00,12,10788.00
2025-05-26,Smart TV 55,Eletrônicos,Norte,3899.00,1,3899.00
2025-05-26,Edredom Queen,Casa,Sudeste,329.00,2,658.00
2025-05-26,Tapete Yoga,Esporte,Nordeste,99.00,4,396.00
2025-05-27,Secador Pro,Beleza,Norte,279.00,8,2232.00
2025-05-28,Mochila Trilha,Esporte,Sudeste,279.00,5,1395.00
2025-05-28,Kit Skincare,Beleza,Norte,229.00,5,1145.00
2025-06-01,Mochila Trilha,Esporte,Sudeste,279.00,10,2790.00
2025-06-02,Tablet Lite,Eletrônicos,Norte,1599.00,11,17589.00
2025-06-05,Mochila Trilha,Esporte,Centro-Oeste,279.00,12,3348.00
2025-06-07,Jaqueta Jeans,Moda,Centro-Oeste,249.00,1,249.00
2025-06-07,Perfume Floral 100ml,Beleza,Nordeste,349.00,4,1396.00
2025-06-08,Tablet Lite,Eletrônicos,Sudeste,1599.00,12,19188.00
2025-06-09,Tapete Yoga,Esporte,Norte,99.00,4,396.00
2025-06-10,Smart TV 55,Eletrônicos,Sudeste,3899.00,3,11697.00
2025-06-11,Tablet Lite,Eletrônicos,Sudeste,1599.00,5,7995.00
2025-06-11,Notebook Pro 14,Eletrônicos,Sudeste,5499.00,7,38493.00
2025-06-12,Luminária LED,Casa,Centro-Oeste,129.00,11,1419.00
2025-06-12,Edredom Queen,Casa,Sudeste,329.00,7,2303.00
2025-06-12,Edredom Queen,Casa,Sudeste,329.00,7,2303.00
2025-06-12,Fone Bluetooth,Eletrônicos,Sudeste,299.00,9,2691.00
2025-06-13,Conjunto Panelas,Casa,Nordeste,459.00,1,459.00
2025-06-15,Secador Pro,Beleza,Nordeste,279.00,6,1674.00
2025-06-15,Vestido Floral,Moda,Nordeste,189.00,9,1701.00
2025-06-17,Halteres 10kg,Esporte,Norte,189.00,8,1512.00
2025-06-17,Vestido Floral,Moda,Nordeste,189.00,3,567.00
2025-06-18,Tênis Runner,Moda,Sudeste,399.00,11,4389.00
2025-06-18,Mochila Trilha,Esporte,Norte,279.00,12,3348.00
2025-06-19,Smart TV 55,Eletrônicos,Sul,3899.00,7,27293.00
2025-06-20,Edredom Queen,Casa,Nordeste,329.00,11,3619.00
2025-06-20,Smartphone X12,Eletrônicos,Sudeste,3299.00,11,36289.00
2025-06-21,Tênis Runner,Moda,Sudeste,399.00,2,798.00
2025-06-22,Smart TV 55,Eletrônicos,Centro-Oeste,3899.00,6,23394.00
2025-06-23,Halteres 10kg,Esporte,Sul,189.00,9,1701.00
2025-06-26,Luminária LED,Casa,Sul,129.00,11,1419.00
2025-06-27,Shampoo Premium,Beleza,Norte,89.00,1,89.00
2025-06-27,Smart TV 55,Eletrônicos,Centro-Oeste,3899.00,6,23394.00
2025-06-27,Boné Trucker,Moda,Centro-Oeste,59.90,7,419.30
2025-06-28,Tablet Lite,Eletrônicos,Sul,1599.00,2,3198.00
2025-06-28,Aspirador Robô,Casa,Nordeste,1499.00,11,16489.00
